,id,type,municipality,prov_code,latitude,longitude,Date,Risk
404,instability-pc092r-101df-15,Frana,Pecorara,PC,44.8712025624287,9.3751580329444,,
405,instability-211-991di-5,Idraulico,Scandiano,RE,44.598800337671,10.6899139471885,,
406,instability-224-021df-6,Frana,Casalfiumanese,BO,44.2706904094921,11.4830138230391,,
407,instability-08ir014-g31di-0,Idraulico,Malalbergo,BO,44.6874701083213,11.5097936874856,,
408,instability-08ir011-g31di-9,Idraulico,Molinella,BO,44.6152430422574,11.7503224429659,,
409,instability-08ir002-g31di-9,Idraulico,Bologna,BO,44.4979958900926,11.3334199534071,,
410,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
411,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
412,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
413,Sign-7979,pozzi con presenza di acqua calda,medolla,MO,44.84894472,11.07147687,1/10/2015,
414,Sign-7979,,mirandola,MO,44.88707754,11.06607716,1/11/2015,
415,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,mirandola,MO,44.88707754,11.06607716,1/9/2016,
416,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,mirandola,MO,44.88707754,11.06607716,1/9/2016,
417,Sign-7979,pozzi con presenza di acqua calda,mirandola,MO,44.88707754,11.06607716,1/8/2016,
418,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,mirandola,MO,44.88707754,11.06607716,1/8/2012,
419,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,mirandola,MO,44.88707754,11.06607716,1/5/2012,
420,Sign-7979,vulcanetti di fango e/o sabbia,mirandola,MO,44.88707754,11.06607716,1/3/2018,
421,Sign-7979,pozzi con presenza di acqua calda,mirandola,MO,44.88707754,11.06607716,1/12/2018,
422,Sign-7979,pozzi con presenza di acqua calda,novi di modena,MO,44.89356712,10.90134261,1/10/2015,
423,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,novi di modena,MO,44.89356712,10.90134261,1/3/2016,
424,Sign-7979,pozzi con presenza di acqua calda,novi di modena,MO,44.89356712,10.90134261,1/2/2017,
425,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,novi di modena,MO,44.89356712,10.90134261,1/3/2015,
426,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,ravarino,MO,44.72446933,11.09999795,1/9/2017,
427,Sign-7979,pozzi con presenza di acqua calda,san felice sul panaro,MO,44.83931946,11.14140434,1/9/2012,
428,Sign-7979,pozzi con presenza di acqua calda,san felice sul panaro,MO,44.83931946,11.14140434,1/10/2013,
429,Sign-7979,,san felice sul panaro,MO,44.83931946,11.14140434,1/6/2018,
430,Sign-7979,pozzi con presenza di acqua calda,san felice sul panaro,MO,44.83931946,11.14140434,1/10/2018,
431,Sign-7979,pozzi con presenza di acqua calda,portomaggiore,FE,44.69780545,11.80577819,1/11/2012,
432,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,vigarano mainarda,FE,44.84176192,11.50031563,1/6/2014,
433,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,vigarano mainarda,FE,44.84176192,11.50031563,1/6/2014,
434,Sign-7979,presenza di fratture e/o di sprofondamenti nel terreno,tresigallo,FE,44.81778085,11.89681521,1/10/2012,
435,Sign-7979,pozzi con presenza di acqua calda,alfonsine,RA,44.50631817,12.04064787,1/11/2016,
436,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bagnacavallo,RA,44.41630012,11.97697277,1/6/2021,
437,Sign-7979,pozzi con presenza di acqua calda,faenza,RA,44.28543714,11.88279721,1/6/2017,
438,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,lugo,RA,44.42083388,11.9114825,1/11/2020,
439,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,bertinoro,FC,44.14891351,12.13425106,1/7/2021,
440,Sign-7979,pozzi con presenza di acqua calda,forlã,missing,missing,missing,1/7/2018,
441,Sign-7979,pozzi con presenza di acqua calda,san mauro pascoli,FC,44.10703239,12.41549224,1/9/2017,
442,Sign-7979,fuoriuscite di gas da pozzi per acqua e/o dal terreno,san giovanni del dosso,MN,44.96608634,11.08112346,1/5/2013,
443,Sign-7979,pozzi con presenza di acqua calda,rimini,RN,44.06090086,12.56562951,1/10/2017,
