,GISID,TIPO,COMUNE,DATA,SCHEDA,MONITORAGG
83,42.0,vulcanetti di fango e/o sabbia,VIANO,Ottobre 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID42_OTTOBRE_2014_DOCUMENTO.pdf,
84,83.0,pozzi con presenza di acqua calda,BASTIGLIA,Gennaio 2018,,
85,64.0,pozzi con presenza di acqua calda,BOMPORTO,Settembre 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID64_SETTEMBRE_2016.pdf,
86,68.0,pozzi con presenza di acqua calda,BOMPORTO,Agosto 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID68_AGOSTO_2016.pdf,
87,73.0,pozzi con presenza di acqua calda,BOMPORTO,Maggio 2017,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID73_MAGGIO_2017.pdf,
88,79.0,pozzi con presenza di acqua calda,CAMPOSANTO,Ottobre 2017,,
89,1.0,pozzi con presenza di acqua calda,CAMPOSANTO,Agosto 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID1_AGOSTO_2012.pdf,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID1_AGOSTO_2012.xls
90,21.0,pozzi con presenza di acqua calda,CARPI,Ottobre 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID21_OTTOBRE_2012.pdf,
91,21.0,pozzi con presenza di acqua calda,CARPI,Ottobre 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID21_OTTOBRE_2012_ARPA.pdf,
92,26.0,vulcanetti di fango e/o sabbia,CAVEZZO,Luglio 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID26_LUGLIO_2014.pdf,
93,43.0,pozzi con presenza di acqua calda,CAVEZZO,Ottobre 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID43_OTTOBRE_2014.pdf,
94,80.0,pozzi con presenza di acqua calda,CONCORDIA SULLA SECCHIA,Ottobre 2017,,
95,13.0,pozzi con presenza di acqua calda,CONCORDIA SULLA SECCHIA,Settembre 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID13_SETTEMBRE_2013.pdf,
96,34.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,CONCORDIA SULLA SECCHIA,Giugno 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID34_GIUGNO_2014.pdf,
97,47.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,CONCORDIA SULLA SECCHIA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID47_MARZO_2015.pdf,
98,47.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,CONCORDIA SULLA SECCHIA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID47_MARZO_2015_ARTICOLO_CARLINO.pdf,
99,47.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,CONCORDIA SULLA SECCHIA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID47_MARZO_2015_ARTICOLO_SCIENTIFICO.pdf,
100,61.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,FINALE EMILIA,Aprile 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID61_APRILE_2016.pdf,
101,61.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,FINALE EMILIA,Aprile 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID61_APRILE_2016_SGSS.pdf,
102,16.0,pozzi con presenza di acqua calda,FINALE EMILIA,Giugno 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID16_GIUGNO_2013.pdf,
103,17.0,pozzi con presenza di acqua calda,FINALE EMILIA,Gennaio 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID17_GENNAIO_2014.pdf,
104,17.0,pozzi con presenza di acqua calda,FINALE EMILIA,Gennaio 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID17_GENNAIO_2014_SGSS.pdf,
105,81.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2017,,
106,38.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,MEDOLLA,Settembre 2014,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID38_SETTEMBRE_2014.pdf,
107,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID54_OTTOBRE_2015.pdf,
108,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID54_OTTOBRE_2015_CARLINO_221015.pdf,
